user_id,X_train_rows,X_test_rows,train_accuracy,test_accuracy
W6LTsXcY1R76M9EdeN0G6A,188,48,0.664893617021,0.604166666667
F5NvOP5YeKetvkYo1W4t3A,168,43,0.482142857143,0.302325581395
Ovpa3S8xD96dLE5eDxcxJg,161,41,0.633540372671,0.512195121951
0RAmuyzHyrxhMSwAX-Hycg,185,47,0.594594594595,0.531914893617
o8J-ergbGYjrUy85I_rxzw,148,38,0.621621621622,0.263157894737
Cp-PV8rsypbO-xBrQ6KmQg,220,55,0.572727272727,0.436363636364
LP0bl3GKToABt3lnpSvA2w,268,67,0.537313432836,0.537313432836
LqgGgWi3FLHBViX9tmZ9sw,150,38,0.626666666667,0.421052631579
C5hDZleIfHtcXS9p4ZYBuA,148,38,0.587837837838,0.5
dhVuDuzCimescgn83tWQOA,157,40,0.611464968153,0.525
2KLg9BGxebym4neLPd9dNg,86,22,0.662790697674,0.363636363636
XBHJCDzNh--mBhJkzyM_iA,165,42,0.606060606061,0.52380952381
zCC6huLkNBEr3JUgQyxJbg,176,44,0.545454545455,0.454545454545
-_1ctLaz3jhPYc12hKXsEQ,435,109,0.588505747126,0.56880733945
BjwXX-sChcjx2E55B_7rXg,136,35,0.661764705882,0.485714285714
H_JsAwjiGEOr_RlZmwfNsA,110,28,0.609090909091,0.428571428571
bwmXfjwrogAaGqV33kSVpQ,130,33,0.615384615385,0.424242424242
RrEQxpQbFdCWArBn9oClGg,83,21,0.493975903614,0.52380952381
b2DKC4kC8-QeSeGZ_MF3XQ,183,46,0.475409836066,0.369565217391
3sWSeGT-5fQ2Z6uAW78VMA,94,24,0.755319148936,0.666666666667
1X4vP8jG-EhpkF73yuJPmQ,185,47,0.6,0.425531914894
M-TwsqjrGVH9-qyw2KcvdQ,150,38,0.54,0.657894736842
wbIU917ctOGp8-NdeVxIWw,91,23,0.648351648352,0.260869565217
pQ6ij6cOBRB3yJGHbVZHUQ,194,49,0.536082474227,0.244897959184
fFmLNPsvu-mT0ewk-sG37w,82,21,0.743902439024,0.571428571429
W_QXYA7A0IhMrvbckz7eVg,182,46,0.582417582418,0.304347826087
gjv2cM7GAgdicJ6Xh0butg,81,21,0.530864197531,0.380952380952
el_BsZHqhCZK_VG27TyPBA,82,21,0.670731707317,0.238095238095
n9Zg0jlOGtxfIrvoPm6Hhw,88,22,0.556818181818,0.681818181818
ei9YO4yL5Z22LkLQR0VIrQ,95,24,0.642105263158,0.333333333333
nc3cqVN0UuB3m50-CcMftw,157,40,0.643312101911,0.55
X5ZszHo37GNK_EBCbhIReg,88,23,0.625,0.391304347826
lmiDCrmas8TxRsbIGZX9Pg,105,27,0.638095238095,0.407407407407
EhcZKrQJIS226xdm_qJ71w,183,46,0.666666666667,0.673913043478
QlOc_cKy_7Fs-Pg0vi9NAg,142,36,0.704225352113,0.666666666667
RyzN2svTnlOGFcsj-z3ZUg,93,24,0.602150537634,0.208333333333
N4BnjZFAuuAUTjxs93SYlg,95,24,0.610526315789,0.625
0tYlK-FieQXAdmTQ9DWTbA,88,23,0.579545454545,0.434782608696
He6ZibRNyBAGvC-QHOrPkw,146,37,0.479452054795,0.378378378378
WWC7LdZal4Db9GKXLyIhPA,96,24,0.635416666667,0.416666666667
xNb8pFe99ENj8BeMsCBPcQ,89,23,0.640449438202,0.304347826087
gcyEUr4DXcbjnGRAWFtfAQ,155,39,0.548387096774,0.487179487179
3VKi1Lm98Tg4Jj6VnvEh3Q,92,24,0.630434782609,0.208333333333
3m5rsk7xoLddGrLK3Qi5rg,102,26,0.617647058824,0.269230769231
